order_id,customer_name,customer_email,country,city,product_category,product_name,quantity,unit_price,total_price,order_date,status,sales_rep,region
1001,Juan Pérez,juan.perez@gmail.com,Argentina,Buenos Aires,Electronics,Laptop Dell XPS,2,1200.00,2400.00,2024-01-15,Completed,Maria Lopez,LATAM
1002,ANA GARCIA,ana.garcia@,Mexico,Ciudad de Mexico,Clothing,Nike Air Max,,89.99,,15/01/2024,Pending,Carlos Ruiz,LATAM
1003,Carlos López,carlos@hotmail.com,Argentina,Córdoba,Electronics,iPhone 15,1,999.00,999.00,2024-01-16,completed,Maria Lopez,LATAM
1004,Maria Fernandez,maria.f@empresa.com,Colombia,Bogotá,Food & Beverage,Protein Shake x12,5,45.00,225.00,2024-01-16,Completed,Ana Torres,LATAM
1005,john smith,john@company.com,USA,New York,Electronics,Samsung TV 55",-1,799.00,-799.00,2024-01-17,CANCELLED,Bob Johnson,NA
1006,Sophie Müller,sophie@web.de,Germany,Berlin,Clothing,Adidas Ultraboost,3,180.00,540.00,17-01-2024,Completed,Hans Weber,EMEA
1007,Pedro Ramirez,pedro.ram@gmail.com,Argentina,Buenos Aires,Electronics,Laptop Dell XPS,1,1200.00,1200.00,2024-01-18,Completed,Maria Lopez,LATAM
1008,,info@tienda.com,Mexico,Guadalajara,Food & Beverage,Whey Protein 1kg,10,35.00,350.00,2024-01-18,Pending,Carlos Ruiz,LATAM
1009,Roberto Silva,roberto@silva.net,Brazil,São Paulo,Electronics,iPhone 15,2,999.00,1998.00,2024-01-19,Completed,Ana Torres,LATAM
1010,Laura Gomez,laura.gomez@gmail.com,Argentina,Mendoza,Clothing,Zara Dress,4,59.99,239.96,2024-01-19,Completed,Maria Lopez,LATAM
1011,Kevin Lee,kevin@startup.io,USA,San Francisco,Electronics,MacBook Pro M3,1,2499.00,2499.00,2024-01-20,Completed,Bob Johnson,NA
1012,Ana García,ana.garcia2@gmail.com,Mexico,Monterrey,Food & Beverage,Protein Shake x12,2,45.00,90.00,20-01-2024,completed,Carlos Ruiz,LATAM
1013,Francois Dupont,francois@mail.fr,France,Paris,Clothing,Louis Vuitton Belt,1,450.00,450.00,2024-01-21,Completed,Pierre Martin,EMEA
1014,CARLOS LOPEZ,carlos.l@hotmail.com,Argentina,Córdoba,Electronics,Samsung TV 55",2,799.00,1598.00,2024-01-21,Completed,Maria Lopez,LATAM
1015,Julia Santos,julia@santos.com.br,Brazil,Rio de Janeiro,Clothing,Nike Air Max,3,89.99,269.97,2024-01-22,PENDING,Ana Torres,LATAM
